sequence_number_1based,sample_index_0based,label_excel_row,sample_id,modality,raw_video_duration_s,aligned_start_s,aligned_end_s,feature_dimension,fixed_sequence_length,valid_sequence_length,available_positions,alignment_granularity,alignment_method,raw_video_path,modality_source_path,feature_sha256
22,21,23,-dxfTGcXJoc$_$1,文本,16.161003,0.490000,15.520000,768,50,36,36,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__1.lab,e62a969359ed73349b7755ee750ea84d21a843d75def27d99729fa9fb5e21292
22,21,23,-dxfTGcXJoc$_$1,语音,16.161003,0.490000,15.520000,74,50,36,36,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__1.wav,e62a969359ed73349b7755ee750ea84d21a843d75def27d99729fa9fb5e21292
22,21,23,-dxfTGcXJoc$_$1,视觉,16.161003,0.490000,15.520000,35,50,36,36,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-dxfTGcXJoc__1/1.csv,e62a969359ed73349b7755ee750ea84d21a843d75def27d99729fa9fb5e21292
23,22,24,-dxfTGcXJoc$_$0,文本,20.500000,0.560000,19.889999,768,50,42,42,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__0.lab,1dd47a81ad1a4a3d6d6eada51329950d51ce2ef5da4130557545bdb33a8688b8
23,22,24,-dxfTGcXJoc$_$0,语音,20.500000,0.560000,19.889999,74,50,42,42,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__0.wav,1dd47a81ad1a4a3d6d6eada51329950d51ce2ef5da4130557545bdb33a8688b8
23,22,24,-dxfTGcXJoc$_$0,视觉,20.500000,0.560000,19.889999,35,50,42,34,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-dxfTGcXJoc__0/0.csv,1dd47a81ad1a4a3d6d6eada51329950d51ce2ef5da4130557545bdb33a8688b8
24,23,25,-dxfTGcXJoc$_$2,文本,16.697982,0.510000,16.110001,768,50,35,35,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__2.lab,1df6242e03fe92a384bc8a810c704bf59152d54d35e136bc09a7b39c9f6ebe62
24,23,25,-dxfTGcXJoc$_$2,语音,16.697982,0.510000,16.110001,74,50,35,35,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__2.wav,1df6242e03fe92a384bc8a810c704bf59152d54d35e136bc09a7b39c9f6ebe62
24,23,25,-dxfTGcXJoc$_$2,视觉,16.697982,0.510000,16.110001,35,50,35,35,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-dxfTGcXJoc__2/2.csv,1df6242e03fe92a384bc8a810c704bf59152d54d35e136bc09a7b39c9f6ebe62
25,24,26,-dxfTGcXJoc$_$6,文本,12.735026,0.410000,12.120000,768,50,28,28,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__6.lab,571a81b1642726a93e45b197895931aaffcfc5a3f07b70f2f259a5068f734f09
25,24,26,-dxfTGcXJoc$_$6,语音,12.735026,0.410000,12.120000,74,50,28,28,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-dxfTGcXJoc__6.wav,571a81b1642726a93e45b197895931aaffcfc5a3f07b70f2f259a5068f734f09
25,24,26,-dxfTGcXJoc$_$6,视觉,12.735026,0.410000,12.120000,35,50,28,28,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-dxfTGcXJoc__6/6.csv,571a81b1642726a93e45b197895931aaffcfc5a3f07b70f2f259a5068f734f09
26,25,27,-egA8-b7-3M$_$26,文本,6.030990,0.510000,5.380000,768,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__26.lab,1bf433251b225d71ff89cb0a84ff6f02ba2e53d67b0ea814458f7a09daff2a6d
26,25,27,-egA8-b7-3M$_$26,语音,6.030990,0.510000,5.380000,74,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__26.wav,1bf433251b225d71ff89cb0a84ff6f02ba2e53d67b0ea814458f7a09daff2a6d
26,25,27,-egA8-b7-3M$_$26,视觉,6.030990,0.510000,5.380000,35,50,15,15,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__26/26.csv,1bf433251b225d71ff89cb0a84ff6f02ba2e53d67b0ea814458f7a09daff2a6d
27,26,28,-egA8-b7-3M$_$17,文本,7.271029,0.510000,6.580000,768,50,16,16,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__17.lab,fffe03caa3658c2ed5bf90a0b0b2da088a3a9d736735b1daada2681f925614b8
27,26,28,-egA8-b7-3M$_$17,语音,7.271029,0.510000,6.580000,74,50,16,16,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__17.wav,fffe03caa3658c2ed5bf90a0b0b2da088a3a9d736735b1daada2681f925614b8
27,26,28,-egA8-b7-3M$_$17,视觉,7.271029,0.510000,6.580000,35,50,16,16,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__17/17.csv,fffe03caa3658c2ed5bf90a0b0b2da088a3a9d736735b1daada2681f925614b8
28,27,29,-egA8-b7-3M$_$18,文本,8.386003,0.510000,7.810000,768,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__18.lab,79644c96bab5be44cca2debd40c26b131b1b82afcc35c3f46c25263710a94316
28,27,29,-egA8-b7-3M$_$18,语音,8.386003,0.510000,7.810000,74,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__18.wav,79644c96bab5be44cca2debd40c26b131b1b82afcc35c3f46c25263710a94316
28,27,29,-egA8-b7-3M$_$18,视觉,8.386003,0.510000,7.810000,35,50,22,22,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__18/18.csv,79644c96bab5be44cca2debd40c26b131b1b82afcc35c3f46c25263710a94316
29,28,30,-egA8-b7-3M$_$16,文本,5.538021,0.370000,5.010000,768,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__16.lab,652575f5c35f2204ec7a26abcb3b49c360b2f0b394942259f8a6d4a48822b330
29,28,30,-egA8-b7-3M$_$16,语音,5.538021,0.370000,5.010000,74,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__16.wav,652575f5c35f2204ec7a26abcb3b49c360b2f0b394942259f8a6d4a48822b330
29,28,30,-egA8-b7-3M$_$16,视觉,5.538021,0.370000,5.010000,35,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__16/16.csv,652575f5c35f2204ec7a26abcb3b49c360b2f0b394942259f8a6d4a48822b330
30,29,31,-egA8-b7-3M$_$13,文本,4.183984,0.510000,3.560000,768,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__13.lab,c8316a7106987dcbe662b38f8bdb157b28822c1ea15cf50cb63a9366df4318ee
30,29,31,-egA8-b7-3M$_$13,语音,4.183984,0.510000,3.560000,74,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__13.wav,c8316a7106987dcbe662b38f8bdb157b28822c1ea15cf50cb63a9366df4318ee
30,29,31,-egA8-b7-3M$_$13,视觉,4.183984,0.510000,3.560000,35,50,11,11,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__13/13.csv,c8316a7106987dcbe662b38f8bdb157b28822c1ea15cf50cb63a9366df4318ee
31,30,32,-egA8-b7-3M$_$1,文本,10.266016,0.000000,9.710000,768,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__1.lab,a82ac5a6b8923c88b861266b8152d3201e7683bde91625904eca0c768bd90d23
31,30,32,-egA8-b7-3M$_$1,语音,10.266016,0.000000,9.710000,74,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__1.wav,a82ac5a6b8923c88b861266b8152d3201e7683bde91625904eca0c768bd90d23
31,30,32,-egA8-b7-3M$_$1,视觉,10.266016,0.000000,9.710000,35,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__1/1.csv,a82ac5a6b8923c88b861266b8152d3201e7683bde91625904eca0c768bd90d23
32,31,33,-egA8-b7-3M$_$6,文本,6.264974,0.480000,5.650000,768,50,12,12,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__6.lab,916df021ee34c89e0c9f029916ff4d3bfbfacbe154159c9ab3963dc418f65f3a
32,31,33,-egA8-b7-3M$_$6,语音,6.264974,0.480000,5.650000,74,50,12,12,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__6.wav,916df021ee34c89e0c9f029916ff4d3bfbfacbe154159c9ab3963dc418f65f3a
32,31,33,-egA8-b7-3M$_$6,视觉,6.264974,0.480000,5.650000,35,50,12,12,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__6/6.csv,916df021ee34c89e0c9f029916ff4d3bfbfacbe154159c9ab3963dc418f65f3a
33,32,34,-egA8-b7-3M$_$9,文本,5.089974,0.450000,4.440000,768,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__9.lab,550427fdd76537ffe09bb02ed511d364ee1420d0f1b445d7b31884800726a1bc
33,32,34,-egA8-b7-3M$_$9,语音,5.089974,0.450000,4.440000,74,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__9.wav,550427fdd76537ffe09bb02ed511d364ee1420d0f1b445d7b31884800726a1bc
33,32,34,-egA8-b7-3M$_$9,视觉,5.089974,0.450000,4.440000,35,50,10,10,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__9/9.csv,550427fdd76537ffe09bb02ed511d364ee1420d0f1b445d7b31884800726a1bc
34,33,35,-egA8-b7-3M$_$20,文本,6.644987,0.490000,5.970000,768,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__20.lab,5b4f7da88a22e5f3aee2f5843b658806be8e0c2427db28d0b1495a56b42b0a3b
34,33,35,-egA8-b7-3M$_$20,语音,6.644987,0.490000,5.970000,74,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-egA8-b7-3M__20.wav,5b4f7da88a22e5f3aee2f5843b658806be8e0c2427db28d0b1495a56b42b0a3b
34,33,35,-egA8-b7-3M$_$20,视觉,6.644987,0.490000,5.970000,35,50,20,20,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-egA8-b7-3M__20/20.csv,5b4f7da88a22e5f3aee2f5843b658806be8e0c2427db28d0b1495a56b42b0a3b
35,34,36,-iRBcNs9oI8$_$3,文本,5.621000,0.570000,5.440000,768,50,8,8,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__3.lab,a5198d3440abbe132764da3137cc77c0e2464545bdc86fa9f374bfd98a50f875
35,34,36,-iRBcNs9oI8$_$3,语音,5.621000,0.570000,5.440000,74,50,8,8,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__3.wav,a5198d3440abbe132764da3137cc77c0e2464545bdc86fa9f374bfd98a50f875
35,34,36,-iRBcNs9oI8$_$3,视觉,5.621000,0.570000,5.440000,35,50,8,8,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-iRBcNs9oI8__3/3.csv,a5198d3440abbe132764da3137cc77c0e2464545bdc86fa9f374bfd98a50f875
36,35,37,-iRBcNs9oI8$_$7,文本,4.104000,0.000000,3.980000,768,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__7.lab,6c6bc0f590a7bf0b347bab7f7c63529464ac2b3294036c21e0bbec1da8a66e19
36,35,37,-iRBcNs9oI8$_$7,语音,4.104000,0.000000,3.980000,74,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__7.wav,6c6bc0f590a7bf0b347bab7f7c63529464ac2b3294036c21e0bbec1da8a66e19
36,35,37,-iRBcNs9oI8$_$7,视觉,4.104000,0.000000,3.980000,35,50,9,9,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-iRBcNs9oI8__7/7.csv,6c6bc0f590a7bf0b347bab7f7c63529464ac2b3294036c21e0bbec1da8a66e19
37,36,38,-iRBcNs9oI8$_$6,文本,2.903000,0.000000,2.170000,768,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__6.lab,1b4be378e0ad136fdde95a3806b91cf68e8ccc546ec7305cac7cd4268f81f8c4
37,36,38,-iRBcNs9oI8$_$6,语音,2.903000,0.000000,2.170000,74,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__6.wav,1b4be378e0ad136fdde95a3806b91cf68e8ccc546ec7305cac7cd4268f81f8c4
37,36,38,-iRBcNs9oI8$_$6,视觉,2.903000,0.000000,2.170000,35,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-iRBcNs9oI8__6/6.csv,1b4be378e0ad136fdde95a3806b91cf68e8ccc546ec7305cac7cd4268f81f8c4
38,37,39,-iRBcNs9oI8$_$9,文本,3.416000,1.280000,2.820000,768,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__9.lab,d75d4318359e7163dab01702675b3d3fe13762d1ee198a980ad52665e53195cf
38,37,39,-iRBcNs9oI8$_$9,语音,3.416000,1.280000,2.820000,74,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__9.wav,d75d4318359e7163dab01702675b3d3fe13762d1ee198a980ad52665e53195cf
38,37,39,-iRBcNs9oI8$_$9,视觉,3.416000,1.280000,2.820000,35,50,5,5,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-iRBcNs9oI8__9/9.csv,d75d4318359e7163dab01702675b3d3fe13762d1ee198a980ad52665e53195cf
39,38,40,-iRBcNs9oI8$_$8,文本,8.093000,0.000000,8.026063,768,50,21,21,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__8.lab,81d43aa4b78601ce9a647ae26b339db0359ee62901973082bb8a88f35e77cfca
39,38,40,-iRBcNs9oI8$_$8,语音,8.093000,0.000000,8.026063,74,50,21,21,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-iRBcNs9oI8__8.wav,81d43aa4b78601ce9a647ae26b339db0359ee62901973082bb8a88f35e77cfca
39,38,40,-iRBcNs9oI8$_$8,视觉,8.093000,0.000000,8.026063,35,50,21,21,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-iRBcNs9oI8__8/8.csv,81d43aa4b78601ce9a647ae26b339db0359ee62901973082bb8a88f35e77cfca
40,39,41,-lzEya4AM_4$_$5,文本,7.675000,0.480000,7.170000,768,50,19,19,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-lzEya4AM_4__5.lab,8c22e6e46e98690bd9572c106562aa5af433e805b57aa9d94feb119ddb460648
40,39,41,-lzEya4AM_4$_$5,语音,7.675000,0.480000,7.170000,74,50,19,19,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-lzEya4AM_4__5.wav,8c22e6e46e98690bd9572c106562aa5af433e805b57aa9d94feb119ddb460648
40,39,41,-lzEya4AM_4$_$5,视觉,7.675000,0.480000,7.170000,35,50,19,19,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-lzEya4AM_4__5/5.csv,8c22e6e46e98690bd9572c106562aa5af433e805b57aa9d94feb119ddb460648
41,40,42,-lzEya4AM_4$_$6,文本,14.791992,0.520000,14.310000,768,50,43,43,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-lzEya4AM_4__6.lab,d743a438b97886ab6528a129561bd49b7b7f06fe6721d72a892bc58841e4a2cb
41,40,42,-lzEya4AM_4$_$6,语音,14.791992,0.520000,14.310000,74,50,43,43,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-lzEya4AM_4__6.wav,d743a438b97886ab6528a129561bd49b7b7f06fe6721d72a892bc58841e4a2cb
41,40,42,-lzEya4AM_4$_$6,视觉,14.791992,0.520000,14.310000,35,50,43,43,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-lzEya4AM_4__6/6.csv,d743a438b97886ab6528a129561bd49b7b7f06fe6721d72a892bc58841e4a2cb
42,41,43,-mJ2ud6oKI8$_$1,文本,6.103000,0.000000,2.710000,768,50,13,13,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-mJ2ud6oKI8__1.lab,369ac49775ac1ba0143e0f9b086ef76209d5748ad72c29105bc0f4a7c63f5934
42,41,43,-mJ2ud6oKI8$_$1,语音,6.103000,0.000000,2.710000,74,50,13,0,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/mfa_corpus/-mJ2ud6oKI8__1.wav,369ac49775ac1ba0143e0f9b086ef76209d5748ad72c29105bc0f4a7c63f5934
42,41,43,-mJ2ud6oKI8$_$1,视觉,6.103000,0.000000,2.710000,35,50,13,0,词,MFA,/Users/wangyiming/Desktop/E题/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,/Users/wangyiming/Desktop/E题/problem1/work/openface/-mJ2ud6oKI8__1/1.csv,369ac49775ac1ba0143e0f9b086ef76209d5748ad72c29105bc0f4a7c63f5934
